inic_edo,nom_edo,nombre,tipo_elec,FechaNacimiento,suplente,edo,ent
fjln_aguascalientes,franciscojavierluevanonunez_aguascalientes,Dip. Francisco Javier Luevano Nunez,Mayoria Relativa,1979-07-01,Gustavo Armendariz Viramontes,Aguascalientes,Distrito:1
eltd_aguascalientes,elbalorenatorresdiaz_aguascalientes,Dip. Elba Lorena Torres Diaz (LICENCIA),Mayoria Relativa,1977-03-15,Haydee Hernandez Munoz,Aguascalientes,Distrito:2
mege_aguascalientes,marthaelisagonzalezestrada_aguascalientes,Dip. Martha Elisa Gonzalez Estrada (LICENCIA),Mayoria Relativa,1977-01-29,Claudia Patricia Torres Lopez(en funciones),Aguascalientes,Distrito:3
jsmm_baja california,jesussalvadorminormora_baja california,Dip. Jesus Salvador Minor Mora,Mayoria Relativa,1951-06-01,Juan Melendrez Espinoza,Baja California,Distrito:1
mdpao_baja california,marinadelpilaravilaolmeda_baja california,Dip. Marina del Pilar Avila Olmeda (LICENCIA),Mayoria Relativa,1985-10-19,Martha Lizeth Noriega Galaz(en funciones),Baja California,Distrito:2
arl_baja california,armandoreyesledesma_baja california,Dip. Armando Reyes Ledesma,Mayoria Relativa,1972-04-10,Christian Hiram Dunn Fitch,Baja California,Distrito:3
siag_baja california,socorroirmaandazolagomez_baja california,Dip. Socorro Irma Andazola Gomez,Mayoria Relativa,1964-09-22,Carlota Lara Guzman,Baja California,Distrito:4
mimg_baja california,marioismaelmorenogil_baja california,Dip. Mario Ismael Moreno Gil,Mayoria Relativa,1948-06-17,Luis Javier Algorri Franco,Baja California,Distrito:5
jjcp_baja california,javierjuliancastanedapomposo_baja california,Dip. Javier Julian Castaneda Pomposo (LICENCIA),Mayoria Relativa,1967-10-07,Erwin Jorge Areizaga Uribe(en funciones),Baja California,Distrito:6
eime_baja california,erikisaacmoraleselvira_baja california,Dip. Erik Isaac Morales Elvira,Mayoria Relativa,1976-09-01,Armando Teran Corella,Baja California,Distrito:7
hrca_baja california,hectorrenecruzaparicio_baja california,Dip. Hector Rene Cruz Aparicio (LICENCIA),Mayoria Relativa,1982-12-27,Alfredo Rivas Aispuro(en funciones),Baja California,Distrito:8
argg_baja california sur,anaruthgarciagrande_baja california sur,Dip. Ana Ruth Garcia Grande,Mayoria Relativa,1971-05-30,Yolanda Jimenez Espinoza,Baja California Sur,Distrito:1
apd_baja california sur,alfredoporrasdominguez_baja california sur,Dip. Alfredo Porras Dominguez,Mayoria Relativa,1957-02-21,Marco Antonio Cesena Sandoval,Baja California Sur,Distrito:2
cema_campeche,carlosenriquemartinezake_campeche,Dip. Carlos Enrique Martinez Ake,Mayoria Relativa,1977-04-25,Daniel Jesus Gomez Vargas,Campeche,Distrito:1
idcbd_campeche,irasemadelcarmenbuenfildiaz_campeche,Dip. Irasema del Carmen Buenfil Diaz,Mayoria Relativa,1958-08-22,Azalia del Carmen Kuri Garcia,Campeche,Distrito:2
evdci_ciudad de mexico,erikavanessadelcastilloibarra_ciudad de mexico,Dip. Erika Vanessa Del Castillo Ibarra,Mayoria Relativa,1978-06-10,Veronica Bustamante Martinez,Ciudad de Mexico,Distrito:1
age_ciudad de mexico,armandogonzalezescoto_ciudad de mexico,Dip. Armando Gonzalez Escoto,Mayoria Relativa,1967-08-27,Juan Javier Calva Hernandez,Ciudad de Mexico,Distrito:2
majmdo_ciudad de mexico,miguelangeljaureguimontesdeoca_ciudad de mexico,Dip. Miguel Angel Jauregui Montes de Oca,Mayoria Relativa,1975-02-19,Gerardo Vallejo Rodriguez,Ciudad de Mexico,Distrito:3
gfn_ciudad de mexico,gerardofernandeznorona_ciudad de mexico,Dip. Gerardo Fernandez Norona,Mayoria Relativa,1960-03-19,Balfre Vargas Cortez,Ciudad de Mexico,Distrito:4
clr_ciudad de mexico,claudialopezrayon_ciudad de mexico,Dip. Claudia Lopez Rayon,Mayoria Relativa,1973-04-22,Gabriela Romero Martinez,Ciudad de Mexico,Distrito:5
smb_ciudad de mexico,sergiomayerbreton_ciudad de mexico,Dip. Sergio Mayer Breton,Mayoria Relativa,1966-05-21,Oscar Bernache Dominguez,Ciudad de Mexico,Distrito:6
brm_ciudad de mexico,beatrizrojasmartinez_ciudad de mexico,Dip. Beatriz Rojas Martinez,Mayoria Relativa,1966-12-21,Erika Nayat Montes Casillas,Ciudad de Mexico,Distrito:7
mr_ciudad de mexico,mariarosete_ciudad de mexico,Dip. Maria Rosete,Mayoria Relativa,1960-03-12,Eloisa Micaela Montano Covarrubias,Ciudad de Mexico,Distrito:8
amgedlmg_ciudad de mexico,adrianamariaguadalupeespinosadelosmonterosgarcia_ciudad de mexico,Dip. Adriana Maria Guadalupe Espinosa de los Monteros Garcia,Mayoria Relativa,1972-12-11,Mariela Santos Rojo,Ciudad de Mexico,Distrito:9
jahp_ciudad de mexico,javierarielhidalgoponce_ciudad de mexico,Dip. Javier Ariel Hidalgo Ponce,Mayoria Relativa,1960-05-14,Luis Daniel Reyes Amezaga,Ciudad de Mexico,Distrito:10
rbb_ciudad de mexico,rociobarrerabadillo_ciudad de mexico,Dip. Rocio Barrera Badillo (LICENCIA),Mayoria Relativa,1976-10-01,Maria Martha Garcia Flores,Ciudad de Mexico,Distrito:11
dpl_ciudad de mexico,dolorespadiernaluna_ciudad de mexico,Dip. Dolores Padierna Luna,Mayoria Relativa,1958-05-08,Montserrat Navarro Perez,Ciudad de Mexico,Distrito:12
mdc_ciudad de mexico,mariodelgadocarrillo_ciudad de mexico,Dip. Mario Delgado Carrillo (LICENCIA),Mayoria Relativa,1972-06-17,Oscar Eugenio Gutierrez Camacho(en funciones),Ciudad de Mexico,Distrito:13
arc_ciudad de mexico,alfonsoramirezcuellar_ciudad de mexico,Dip. Alfonso Ramirez Cuellar,Mayoria Relativa,1959-06-14,Javier Uriel Aguirre Valenciana,Ciudad de Mexico,Distrito:14
lama_ciudad de mexico,luisalbertomendozaacevedo_ciudad de mexico,Dip. Luis Alberto Mendoza Acevedo,Mayoria Relativa,1980-01-12,Victor Manuel Mendoza Acevedo,Ciudad de Mexico,Distrito:15
slva_ciudad de mexico,silvialorenavillavicencioayala_ciudad de mexico,Dip. Silvia Lorena Villavicencio Ayala,Mayoria Relativa,1964-06-12,Alicia Torres San Juan,Ciudad de Mexico,Distrito:16
fjsc_ciudad de mexico,franciscojaviersaldivarcamacho_ciudad de mexico,Dip. Francisco Javier Saldivar Camacho,Mayoria Relativa,1967-03-12,Andres Amador Navarro,Ciudad de Mexico,Distrito:17
amrr_ciudad de mexico,anamariarodriguezruiz_ciudad de mexico,Dip. Ana Maria Rodriguez Ruiz,Mayoria Relativa,1962-07-23,Maria del Rosario Rojas Martinez,Ciudad de Mexico,Distrito:18
aar_ciudad de mexico,aleidaalavezruiz_ciudad de mexico,Dip. Aleida Alavez Ruiz,Mayoria Relativa,1974-01-10,Maria Concepcion Franco Rodriguez,Ciudad de Mexico,Distrito:19
akrp_ciudad de mexico,anakarinarojopimentel_ciudad de mexico,Dip. Ana Karina Rojo Pimentel,Mayoria Relativa,1976-11-28,Maribel Flores Garcia,Ciudad de Mexico,Distrito:20
fimm_ciudad de mexico,florivonemoralesmiranda_ciudad de mexico,Dip. Flor Ivone Morales Miranda (LICENCIA),Mayoria Relativa,1968-10-05,Karen Ivette Audiffred Fernandez(en funciones),Ciudad de Mexico,Distrito:21
vgvl_ciudad de mexico,victorgabrielvarelalopez_ciudad de mexico,Dip. Victor Gabriel Varela Lopez,Mayoria Relativa,1973-04-20,Salvador Montes Villalba,Ciudad de Mexico,Distrito:22
pga_ciudad de mexico,pablogomezalvarez_ciudad de mexico,Dip. Pablo Gomez Alvarez,Mayoria Relativa,1946-10-21,Sandino Luna Almeida,Ciudad de Mexico,Distrito:23
grs_ciudad de mexico,guadaluperamossotelo_ciudad de mexico,Dip. Guadalupe Ramos Sotelo,Mayoria Relativa,1974-02-01,Lucero Ramirez Ramirez,Ciudad de Mexico,Distrito:24
elpr_coahuila,evaristoleninperezrivera_coahuila,Dip. Evaristo Lenin Perez Rivera,Mayoria Relativa,1966-10-28,Sergio Borja Castillo,Coahuila,Distrito:1
fjba_coahuila,franciscojavierborregoadame_coahuila,Dip. Francisco Javier Borrego Adame,Mayoria Relativa,1954-12-27,Jorge Arturo Valdes Flores,Coahuila,Distrito:2
mnfz_coahuila,melbaneliafariaszambrano_coahuila,Dip. Melba Nelia Farias Zambrano,Mayoria Relativa,1955-07-06,Angelica Ledesma Mesta,Coahuila,Distrito:3
mhgc_coahuila,marthahortenciagaraycadena_coahuila,Dip. Martha Hortencia Garay Cadena,Mayoria Relativa,1955-04-03,Cynthia del Carmen Molano Serna,Coahuila,Distrito:4
lfsf_coahuila,luisfernandosalazarfernandez_coahuila,Dip. Luis Fernando Salazar Fernandez (LICENCIA),Mayoria Relativa,1977-11-18,Ulises Guadalupe Hernandez Torres,Coahuila,Distrito:5
