N°,Nombre,Grupo Parlamentario,Entidad federativa,Distrito / Circunscripción,Tipo de elección,Releccion 
1,Abelina Lopez Rodriguez,MORENA,Guerrero,Distrito 4,Mayoría relativa,SI
2,Abril Alcala Padilla,PRD,Jalisco,Distrito 8,Mayoría relativa,SI
3,Absalon Garcia Ochoa,PAN,Jalisco,Distrito 15,Mayoría relativa,SI
4,Adela Piña Bernal,MORENA,Ciudad de México,4a Circunscripción,Representación proporcional,SI
5,Adolfo Torres Ramirez,PAN,Michoacán,5a Circunscripción,Representación proporcional,SI
6,Adriana Davila Fernandez,PAN,Tlaxcala,4a Circunscripción,Representación proporcional,SI
7,Adriana Lozano Rodriguez,PES,Tamaulipas,Distrito 4,Mayoría relativa,SI
8,Adriana Maria Guadalupe Espinosa de los Monteros,MORENA,Ciudad de México,Distrito 9,Mayoría relativa,SI
9,Adriana Paulina Teissier Zavala,PES,Quintana Roo,Distrito 1,Mayoría relativa,SI
10,Agustin Reynaldo Huerta Gonzalez,MORENA,Puebla,4ª Circunscripción,Representación proporcional,SI
11,Alan Jesus Falomir Saenz,MC,Chihuahua,Distrito 8,Mayoría relativa,SI
12,Alberto Villa Villegas,MORENA,Jalisco,1ª Circunscripción,Representación proporcional,SI
13,Aleida Alavez Ruiz,MORENA,Ciudad de México,Distrito 19,Mayoría relativa,SI
14,Alejandra Pani Barragan,MORENA,Morelos,Distrito 2,Mayoría relativa,SI
15,Alejandro Barroso Chavez,PT,Puebla,Distrito 15,Mayoría relativa,SI
16,Alejandro Carvajal Hidalgo,MORENA,Puebla,Distrito 6,Mayoría relativa,SI
17,Alejandro Ponce Cobos,MORENA,Oaxaca,3ª Circunscripción,Representación proporcional,SI
18,Alejandro Viedma Velazquez,MORENA,México,5ª Circunscripción,Representación proporcional,SI
20,Alfonso Ramirez Cuellar,MORENA,Ciudad de México,Distrito 14,Mayoría relativa,SI
22,Alfredo Femat Bañuelos,PT,Zacatecas,Distrito 3,Mayoría relativa,SI
23,Alfredo Porras Dominguez,PT,Baja California Sur,Distrito 2,Mayoría relativa,SI
24,Alfredo Vazquez Vazquez,MORENA,Chiapas,Distrito 3,Mayoría relativa,SI
25,Alfredo Villegas Arreola,PRI,Sinaloa,1ª Circunscripción,Representación proporcional,SI
26,Alma Delia Navarrete Rivera,MORENA,México,Distrito 10,Mayoría relativa,SI
27,Ana Karina Rojo Pimentel,PT,Ciudad de México,Distrito 20,Mayoría relativa,SI
28,Ana Lilia Guillen Quiroz,MORENA,Michoacán,Distrito 8,Mayoría relativa,SI
29,Ana Lilia Herrera Anzaldo,PRI,México,5ª Circunscripción,Representación proporcional,SI
30,Ana Lucia Riojas Martinez,SP,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
31,Ana Maria Rodriguez Ruiz,MORENA,Ciudad de México,Distrito 18,Mayoría relativa,SI
32,Ana Paola Lopez Birlain,PAN,Querétaro,Distrito 5,Mayoría relativa,SI
33,Ana Priscila Gonzalez Garcia,MC,Jalisco,Distrito 20,Mayoría relativa,SI
34,Ana Ruth Garcia Grande,PT,Baja California Sur,Distrito 1,Mayoría relativa,SI
35,Anilu Ingram Vallines,PRI,Verazcruz,3ª Circunscripción,Representación proporcional,SI
