CURP,Nombre,TipoLegislacion,Partido_x,FechaNacimiento_x,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura,inic_edo,nom_edo,tipo_elec,FechaNacimiento_y,edo,ent,Partido_y,N°,Grupo Parlamentario,Entidad federativa,Distrito / Circunscripción,Tipo de elección,Releccion 
RCA,Alfonso Ramirez Cuellar,Diputado Propietario,PRD,14/06/1959, Zacatecas ,Representación Proporcional, Zacatecas Circunscripción: Segunda ,Licenciatura,Humanidades,LVII,22/08/1997,31/08/2000,arc_ciudad de mexico,alfonsoramirezcuellar_ciudad de mexico,Mayoria Relativa,14/06/1959,Ciudad de Mexico,Distrito:14,,20,MORENA,Ciudad de México,Distrito 14,Mayoría relativa,SI
RCA,Alfonso Ramirez Cuellar,Diputado Propietario,PRD,14/06/1959, Zacatecas ,Mayoría Relativa, Distrito Federal Distrito: 11 (Venustiano Carranza) ,Licenciatura,Humanidades,LIX,29/08/2003,31/08/2006,arc_ciudad de mexico,alfonsoramirezcuellar_ciudad de mexico,Mayoria Relativa,14/06/1959,Ciudad de Mexico,Distrito:14,,20,MORENA,Ciudad de México,Distrito 14,Mayoría relativa,SI
RCA,Alfonso Ramirez Cuellar,Diputado Propietario,Morena,14/06/1959, Zacatecas ,Mayoría Relativa, Ciudad de México Distrito: 14 (Tlalpan) ,Pasante/Licenciatura trunca,Derecho,LXIV,29/08/2018,31/08/2021,arc_ciudad de mexico,alfonsoramirezcuellar_ciudad de mexico,Mayoria Relativa,14/06/1959,Ciudad de Mexico,Distrito:14,,20,MORENA,Ciudad de México,Distrito 14,Mayoría relativa,SI
VAA,Alfredo Villegas Arreola,Diputado Propietario,PRI,12/01/1951, Sinaloa ,Mayoría Relativa, Sinaloa Distrito: 3 (Navolato) ,Maestría,Administración y contaduría,LVII,22/08/1997,31/08/2000,ava_sinaloa,alfredovillegasarreola_sinaloa,Representacion proporcional,12/01/1951,Sinaloa,Circunscripcion:1,,25,PRI,Sinaloa,1ª Circunscripción,Representación proporcional,SI
VAA,Alfredo Villegas Arreola,Diputado Propietario,PRI,12/01/1951, Sinaloa ,Representación Proporcional, Sinaloa Circunscripción: Primera ,,,LIX,29/08/2003,31/08/2006,ava_sinaloa,alfredovillegasarreola_sinaloa,Representacion proporcional,12/01/1951,Sinaloa,Circunscripcion:1,,25,PRI,Sinaloa,1ª Circunscripción,Representación proporcional,SI
VAA,Alfredo Villegas Arreola,Diputado Propietario,PRI,12/01/1951, Sinaloa ,Representación Proporcional, Sinaloa Circunscripción: Primera ,Licenciatura,Ingeniería,LXI,29/08/2009,31/08/2012,ava_sinaloa,alfredovillegasarreola_sinaloa,Representacion proporcional,12/01/1951,Sinaloa,Circunscripcion:1,,25,PRI,Sinaloa,1ª Circunscripción,Representación proporcional,SI
VAA,Alfredo Villegas Arreola,Diputado Propietario,PRI,12/01/1951, Sinaloa ,Representación Proporcional, Sinaloa Circunscripción: Primera ,Licenciatura,Ingeniería,LXIV,29/08/2018,31/08/2021,ava_sinaloa,alfredovillegasarreola_sinaloa,Representacion proporcional,12/01/1951,Sinaloa,Circunscripcion:1,,25,PRI,Sinaloa,1ª Circunscripción,Representación proporcional,SI
GCI,Isaias Gonzalez Cuevas,Diputado Propietario,PRI,06/07/1940, México ,Representación Proporcional, Baja California Sur Circunscripción: Primera ,Secundaria,,LVII,22/08/1997,31/08/2000,igc_baja california sur,isaiasgonzalezcuevas_baja california sur,Representacion proporcional,06/07/1940,Baja California Sur,Circunscripcion:1,,,,,,,
GCI,Isaias Gonzalez Cuevas,Senador Propietario,PRI,06/07/1940, México ,Mayoría Relativa, Baja California Sur ,Secundaria,,LXII,29/08/2012,31/08/2015,igc_baja california sur,isaiasgonzalezcuevas_baja california sur,Representacion proporcional,06/07/1940,Baja California Sur,Circunscripcion:1,,,,,,,
GCI,Isaias Gonzalez Cuevas,Senador Propietario,PRI,06/07/1940, México ,Mayoría Relativa, Baja California Sur ,Secundaria,,LXIII,29/08/2015,31/08/2018,igc_baja california sur,isaiasgonzalezcuevas_baja california sur,Representacion proporcional,06/07/1940,Baja California Sur,Circunscripcion:1,,,,,,,
