inic_edo,nom_edo,Nombre,tipo_elec,FechaNacimiento,edo,ent,Tipo de elección,Reeleccion,Partido
alr_guerrero,abelinalopezrodriguez_guerrero,Abelina Lopez Rodriguez,Mayoria Relativa,1965-09-23,Guerrero,Distrito:4,Mayoría relativa,SI,MORENA
aap_jalisco,abrilalcalapadilla_jalisco,Abril Alcala Padilla,Mayoria Relativa,1979-04-28,Jalisco,Distrito:8,Mayoría relativa,SI,PRD
ago_jalisco,absalongarciaochoa_jalisco,Absalon Garcia Ochoa,Mayoria Relativa,1971-09-23,Jalisco,Distrito:15,Mayoría relativa,SI,PAN
apb_ciudad de mexico,adelapinabernal_ciudad de mexico,Adela Piña Bernal,Representacion proporcional,1964-12-28,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,MORENA
atr_michoacan,adolfotorresramirez_michoacan,Adolfo Torres Ramirez,Representacion proporcional,1980-11-18,Michoacan,Circunscripcion:5,Representación proporcional,SI,PAN
aav_san luis potosi,adrianaaguilarvazquez_san luis potosi,Adriana Aguilar Vazquez,Representacion proporcional,1977-07-20,San Luis Potosi,Circunscripcion:2,,NO,PAN
adf_tlaxcala,adrianadavilafernandez_tlaxcala,Adriana Davila Fernandez,Representacion proporcional,1970-12-30,Tlaxcala,Circunscripcion:4,Representación proporcional,SI,PAN
agmo_jalisco,adrianagabrielamedinaortiz_jalisco,Adriana Gabriela Medina Ortiz,Mayoria Relativa,1979-06-25,Jalisco,Distrito:12,,NO,MC
alr_tamaulipas,adrianalozanorodriguez_tamaulipas,Adriana Lozano Rodriguez,Mayoria Relativa,1969-06-26,Tamaulipas,Distrito:4,Mayoría relativa,SI,PES
amgedlmg_ciudad de mexico,adrianamariaguadalupeespinosadelosmonterosgarcia_ciudad de mexico,Adriana Maria Guadalupe Espinosa de los Monteros,Mayoria Relativa,1972-12-11,Ciudad de Mexico,Distrito:9,Mayoría relativa,SI,MORENA
aptz_quintana roo,adrianapaulinateissierzavala_quintana roo,Adriana Paulina Teissier Zavala,Mayoria Relativa,1967-07-20,Quintana Roo,Distrito:1,Mayoría relativa,SI,PES
agr_michoacan,agustingarciarubio_michoacan,Agustin Garcia Rubio,Representacion proporcional,1973-06-05,Michoacan,Circunscripcion:5,,NO,MORENA
arhg_puebla,agustinreynaldohuertagonzalez_puebla,Agustin Reynaldo Huerta Gonzalez,Representacion proporcional,1962-05-07,Puebla,Circunscripcion:4,Representación proporcional,SI,MORENA
ajfs_chihuahua,alanjesusfalomirsaenz_chihuahua,Alan Jesus Falomir Saenz,Mayoria Relativa,1981-02-23,Chihuahua,Distrito:8,Mayoría relativa,SI,MC
aeg_jalisco,albertoesquergutierrez_jalisco,Alberto Esquer Gutierrez,Mayoria Relativa,1978-11-07,Jalisco,Distrito:19,,NO,MC
avv_jalisco,albertovillavillegas_jalisco,Alberto Villa Villegas,Representacion proporcional,1972-10-25,Jalisco,Circunscripcion:1,Representación proporcional,SI,MORENA
aar_ciudad de mexico,aleidaalavezruiz_ciudad de mexico,Aleida Alavez Ruiz,Mayoria Relativa,1974-01-10,Ciudad de Mexico,Distrito:19,Mayoría relativa,SI,MORENA
apb_morelos,alejandrapanibarragan_morelos,Alejandra Pani Barragan,Mayoria Relativa,1964-07-17,Morelos,Distrito:2,Mayoría relativa,SI,MORENA
abc_puebla,alejandrobarrosochavez_puebla,Alejandro Barroso Chavez,Mayoria Relativa,1981-01-04,Puebla,Distrito:15,Mayoría relativa,SI,PT
ach_puebla,alejandrocarvajalhidalgo_puebla,Alejandro Carvajal Hidalgo,Mayoria Relativa,1980-08-02,Puebla,Distrito:6,Mayoría relativa,SI,MORENA
amt_morelos,alejandromojicatoledo_morelos,Alejandro Mojica Toledo,Mayoria Relativa,1955-01-12,Morelos,Distrito:1,,NO,MORENA
apc_oaxaca,alejandroponcecobos_oaxaca,Alejandro Ponce Cobos,Representacion proporcional,1972-04-17,Oaxaca,Circunscripcion:3,Representación proporcional,SI,MORENA
avv_mexico,alejandroviedmavelazquez_mexico,Alejandro Viedma Velazquez,Representacion proporcional,1991-11-11,Mexico,Circunscripcion:5,Representación proporcional,SI,MORENA
arc_ciudad de mexico,alfonsoramirezcuellar_ciudad de mexico,Alfonso Ramirez Cuellar,Mayoria Relativa,1959-06-14,Ciudad de Mexico,Distrito:14,Mayoría relativa,SI,MORENA
afb_zacatecas,alfredofematbanuelos_zacatecas,Alfredo Femat Bañuelos,Mayoria Relativa,1961-01-12,Zacatecas,Distrito:3,Mayoría relativa,SI,PT
apd_baja california sur,alfredoporrasdominguez_baja california sur,Alfredo Porras Dominguez,Mayoria Relativa,1957-02-21,Baja California Sur,Distrito:2,Mayoría relativa,SI,PT
avv_chiapas,alfredovazquezvazquez_chiapas,Alfredo Vazquez Vazquez,Mayoria Relativa,1981-01-27,Chiapas,Distrito:3,Mayoría relativa,SI,MORENA
ava_sinaloa,alfredovillegasarreola_sinaloa,Alfredo Villegas Arreola,Representacion proporcional,1951-01-12,Sinaloa,Circunscripcion:1,Representación proporcional,SI,PRI
adnr_mexico,almadelianavarreterivera_mexico,Alma Delia Navarrete Rivera,Mayoria Relativa,1972-07-29,Mexico,Distrito:10,Mayoría relativa,SI,MORENA
amvr_durango,almamarinavitelarodriguez_durango,Alma Marina Vitela Rodriguez,Mayoria Relativa,1965-12-26,Durango,Distrito:2,,NO,MORENA
agge_sonora,anagabrielaguevaraespinoza_sonora,Ana Gabriela Guevara Espinoza,Mayoria Relativa,1977-03-04,Sonora,Distrito:2,,NO,PT
akrp_ciudad de mexico,anakarinarojopimentel_ciudad de mexico,Ana Karina Rojo Pimentel,Mayoria Relativa,1976-11-28,Ciudad de Mexico,Distrito:20,Mayoría relativa,SI,PT
algq_michoacan,analiliaguillenquiroz_michoacan,Ana Lilia Guillen Quiroz,Mayoria Relativa,1955-02-05,Michoacan,Distrito:8,Mayoría relativa,SI,MORENA
alha_mexico,analiliaherreraanzaldo_mexico,Ana Lilia Herrera Anzaldo,Representacion proporcional,1971-08-29,Mexico,Circunscripcion:5,Representación proporcional,SI,PRI
alrm_ciudad de mexico,analuciariojasmartinez_ciudad de mexico,Ana Lucia Riojas Martinez,Representacion proporcional,1988-02-25,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,SinPartido
amrr_ciudad de mexico,anamariarodriguezruiz_ciudad de mexico,Ana Maria Rodriguez Ruiz,Mayoria Relativa,1962-07-23,Ciudad de Mexico,Distrito:18,Mayoría relativa,SI,MORENA
aplb_queretaro,anapaolalopezbirlain_queretaro,Ana Paola Lopez Birlain,Mayoria Relativa,1981-09-21,Queretaro,Distrito:5,Mayoría relativa,SI,PAN
appdlp_quintana roo,anapatriciaperaltadelapena_quintana roo,Ana Patricia Peralta De La Peña,Representacion proporcional,1990-06-24,Quintana Roo,Circunscripcion:3,,NO,MORENA
apgg_jalisco,anapriscilagonzalezgarcia_jalisco,Ana Priscila Gonzalez Garcia,Mayoria Relativa,1984-05-13,Jalisco,Distrito:20,Mayoría relativa,SI,MC
argg_baja california sur,anaruthgarciagrande_baja california sur,Ana Ruth Garcia Grande,Mayoria Relativa,1971-05-30,Baja California Sur,Distrito:1,Mayoría relativa,SI,PT
aiv_veracruz,aniluingramvallines_veracruz,Anilu Ingram Vallines,Representacion proporcional,1980-08-26,Veracruz,Circunscripcion:3,Representación proporcional,SI,PRI
asc_michoacan,anitasanchezcastro_michoacan,Anita Sanchez Castro,Mayoria Relativa,1968-01-07,Michoacan,Distrito:6,Mayoría relativa,SI,MORENA
asgc_nuevo leon,anniasarahigomezcardenas_nuevo leon,Annia Sarahi Gomez Cardenas,Mayoria Relativa,1983-07-06,Nuevo Leon,Distrito:6,Mayoría relativa,SI,PAN
andj_oaxaca,antonianatividaddiazjimenez_oaxaca,Antonia Natividad Diaz Jimenez,Representacion proporcional,1982-06-13,Oaxaca,Circunscripcion:3,,NO,PAN
aom_aguascalientes,antonioortegamartinez_aguascalientes,Antonio Ortega Martinez,Representacion proporcional,1954-07-28,Aguascalientes,Circunscripcion:2,,NO,PRD
aom_guerrero,araceliocampomanzanares_guerrero,Araceli Ocampo Manzanares,Mayoria Relativa,1972-10-15,Guerrero,Distrito:2,Mayoría relativa,SI,MORENA
arv_guanajuato,arielrodriguezvazquez_guanajuato,Ariel Rodriguez Vazquez,Mayoria Relativa,1972-11-01,Guanajuato,Distrito:1,Mayoría relativa,SI,MC
acc_oaxaca,armandocontrerascastillo_oaxaca,Armando Contreras Castillo,Representacion proporcional,1966-04-13,Oaxaca,Circunscripcion:3,Representación proporcional,SI,MORENA
age_ciudad de mexico,armandogonzalezescoto_ciudad de mexico,Armando Gonzalez Escoto,Mayoria Relativa,1967-08-27,Ciudad de Mexico,Distrito:2,Mayoría relativa,SI,PES
ajzz_tamaulipas,armandojavierzertuchezuani_tamaulipas,Armando Javier Zertuche Zuani,Mayoria Relativa,1957-11-27,Tamaulipas,Distrito:9,Mayoría relativa,SI,PT
arl_baja california,armandoreyesledesma_baja california,Armando Reyes Ledesma,Mayoria Relativa,1972-04-10,Baja California,Distrito:3,Mayoría relativa,SI,PT
atc_michoacan,armandotejedacid_michoacan,Armando Tejeda Cid,Mayoria Relativa,1984-09-21,Michoacan,Distrito:4,Mayoría relativa,SI,PAN
aeyv_ciudad de mexico,arturoescobaryvega_ciudad de mexico,Arturo Escobar y Vega,Representacion proporcional,1970-04-23,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,PVEM
arht_mexico,arturorobertohernandeztapia_mexico,Arturo Roberto Hernandez Tapia,Mayoria Relativa,1961-05-05,Mexico,Distrito:35,Mayoría relativa,SI,MORENA
asc_oaxaca,azaelsantiagochepi_oaxaca,Azael Santiago Chepi,Mayoria Relativa,1977-12-15,Oaxaca,Distrito:4,Mayoría relativa,SI,MORENA
bdpl_oaxaca,beatrizdomingaperezlopez_oaxaca,Beatriz Dominga Perez Lopez,Mayoria Relativa,1975-08-24,Oaxaca,Distrito:6,Mayoría relativa,SI,MORENA
bmg_guanajuato,beatrizmanriqueguevara_guanajuato,Beatriz Manrique Guevara,Representacion proporcional,1967-05-20,Guanajuato,Circunscripcion:2,,NO,PVEM
brm_ciudad de mexico,beatrizrojasmartinez_ciudad de mexico,Beatriz Rojas Martinez,Mayoria Relativa,1966-12-21,Ciudad de Mexico,Distrito:7,Mayoría relativa,SI,MORENA
bsrg_queretaro,beatrizsilviaroblesgutierrez_queretaro,Beatriz Silvia Robles Gutierrez,Mayoria Relativa,1965-03-24,Queretaro,Distrito:3,Mayoría relativa,SI,MORENA
bmh_baja california,benitomedinaherrera_baja california,Benito Medina Herrera,Representacion proporcional,1950-06-05,Baja California,Circunscripcion:1,Mayoría relativa,SI,PRI
brm_oaxaca,benjaminroblesmontoya_oaxaca,Benjamin Robles Montoya,Mayoria Relativa,1959-11-08,Oaxaca,Distrito:8,Mayoría relativa,SI,PT
bshc_puebla,benjaminsaulhuertacorona_puebla,Benjamin Saul Huerta Corona,Mayoria Relativa,1958-03-31,Puebla,Distrito:11,Mayoría relativa,SI,MORENA
bal_veracruz,bonifacioaguilarlinda_veracruz,Bonifacio Aguilar Linda,Mayoria Relativa,1976-05-08,Veracruz,Distrito:18,Mayoría relativa,SI,MORENA
baap_mexico,brasilalbertoacostapena_mexico,Brasil Alberto Acosta Peña,Representacion proporcional,1970-06-21,Mexico,Circunscripcion:5,Representación proporcional,SI,PRI
bel_morelos,brendaespinozalopez_morelos,Brenda Espinoza Lopez,Representacion proporcional,1988-06-19,Morelos,Circunscripcion:4,Representación proporcional,SI,MORENA
camv_chiapas,carlosalbertomoralesvazquez_chiapas,Carlos Alberto Morales Vazquez,Representacion proporcional,1972-08-22,Chiapas,Circunscripcion:3,Representación proporcional,SI,SinPartido
caps_zacatecas,carlosalbertopuentesalas_zacatecas,Carlos Alberto Puente Salas,Representacion proporcional,1971-12-16,Zacatecas,Circunscripcion:2,Representación proporcional,SI,PVEM
cavg_veracruz,carlosalbertovalenzuelagonzalez_veracruz,Carlos Alberto Valenzuela Gonzalez,Representacion proporcional,1983-04-18,Veracruz,Circunscripcion:3,Representación proporcional,SI,PAN
ccm_tlaxcala,carloscarreonmejia_tlaxcala,Carlos Carreon Mejia,Representacion proporcional,1973-05-27,Tlaxcala,Circunscripcion:4,Representación proporcional,SI,PAN
cema_campeche,carlosenriquemartinezake_campeche,Carlos Enrique Martinez Ake,Mayoria Relativa,1977-04-25,Campeche,Distrito:1,Mayoría relativa,SI,MORENA
chcv_sinaloa,carloshumbertocastanosvalenzuela_sinaloa,Carlos Humberto Castaños Valenzuela,Representacion proporcional,1977-04-14,Sinaloa,Circunscripcion:1,Representación proporcional,SI,PAN
cjlc_sonora,carlosjavierlamarquecano_sonora,Carlos Javier Lamarque Cano,Mayoria Relativa,1953-08-01,Sonora,Distrito:6,Mayoría relativa,SI,MORENA
cpc_zacatecas,carlospavoncampos_zacatecas,Carlos Pavon Campos,Representacion proporcional,1955-10-31,Zacatecas,Circunscripcion:2,Representación proporcional,SI,PRI
csb_guerrero,carlossanchezbarrios_guerrero,Carlos Sanchez Barrios,Mayoria Relativa,1957-08-17,Guerrero,Distrito:7,Mayoría relativa,SI,MORENA
ctp_michoacan,carlostorrespina_michoacan,Carlos Torres Piña,Representacion proporcional,1979-03-01,Michoacan,Circunscripcion:5,Representación proporcional,SI,MORENA
cjpg_jalisco,carmenjuliaprudenciogonzalez_jalisco,Carmen Julia Prudencio Gonzalez,Mayoria Relativa,1977-06-30,Jalisco,Distrito:9,Mayoría relativa,SI,MC
cmp_veracruz,carmenmedelpalma_veracruz,Carmen Medel Palma,Mayoria Relativa,1959-09-26,Veracruz,Distrito:14,Mayoría relativa,SI,MORENA
cmg_veracruz,carmenmoragarcia_veracruz,Carmen Mora Garcia,Mayoria Relativa,1952-07-14,Veracruz,Distrito:9,Mayoría relativa,SI,MORENA
cppo_quintana roo,carmenpatriciapalmaolvera_quintana roo,Carmen Patricia Palma Olvera,Mayoria Relativa,1958-01-13,Quintana Roo,Distrito:2,Mayoría relativa,SI,MORENA
cyrm_nayarit,carminayadiraregaladomardueno_nayarit,Carmina Yadira Regalado Mardueño,Representacion proporcional,1967-11-06,Nayarit,Circunscripcion:1,Representación proporcional,SI,MORENA
caa_oaxaca,carolantonioaltamirano_oaxaca,Carol Antonio Altamirano,Mayoria Relativa,1963-12-13,Oaxaca,Distrito:5,Mayoría relativa,SI,MORENA
cga_mexico,carolinagarciaaguilar_mexico,Carolina Garcia Aguilar,Mayoria Relativa,1976-09-22,Mexico,Distrito:6,Mayoría relativa,SI,PES
czv_sinaloa,casimirozamoravaldez_sinaloa,Casimiro Zamora Valdez,Mayoria Relativa,1958-11-15,Sinaloa,Distrito:4,Mayoría relativa,SI,MORENA
capl_yucatan,ceciliaanunciacionpatronlaviada_yucatan,Cecilia Anunciacion Patron Laviada,Representacion proporcional,1971-03-25,Yucatan,Circunscripcion:3,Representación proporcional,SI,PAN
cahp_mexico,cesaragustinhernandezperez_mexico,Cesar Agustin Hernandez Perez,Mayoria Relativa,1980-03-01,Mexico,Distrito:30,Mayoría relativa,SI,MORENA
ccp_hidalgo,ciprianocharrezpedraza_hidalgo,Cipriano Charrez Pedraza,Mayoria Relativa,1970-09-16,Hidalgo,Distrito:2,,NO,MORENA
csr_chiapas,cirosalesruiz_chiapas,Ciro Sales Ruiz,Representacion proporcional,1974-01-01,Chiapas,Circunscripcion:3,,NO,MORENA
cadv_mexico,claudiaangelicadominguezvazquez_mexico,Claudia Angelica Dominguez Vazquez,Mayoria Relativa,1977-09-13,Mexico,Distrito:14,Mayoría relativa,SI,PT
cbr_puebla,claudiabaezruiz_puebla,Claudia Baez Ruiz,Mayoria Relativa,1972-10-20,Puebla,Distrito:3,Mayoría relativa,SI,PES
celm_chihuahua,claudiaelenalastramunoz_chihuahua,Claudia Elena Lastra Muñoz,Mayoria Relativa,1971-01-13,Chihuahua,Distrito:3,Mayoría relativa,SI,PT
clr_ciudad de mexico,claudialopezrayon_ciudad de mexico,Claudia Lopez Rayon,Mayoria Relativa,1973-04-22,Ciudad de Mexico,Distrito:5,Mayoría relativa,SI,MORENA
cpb_ciudad de mexico,claudiapastorbadilla_ciudad de mexico,Claudia Pastor Badilla,Representacion proporcional,1970-12-01,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,PRI
crm_mexico,claudiareyesmontiel_mexico,Claudia Reyes Montiel,Mayoria Relativa,1974-02-07,Mexico,Distrito:18,Mayoría relativa,SI,PRD
cte_veracruz,claudiatelloespinosa_veracruz,Claudia Tello Espinosa,Mayoria Relativa,1964-10-16,Veracruz,Distrito:8,Mayoría relativa,SI,MORENA
cvycyc_colima,claudiavaleriayanezcentenoycabrera_colima,Claudia Valeria Yañez Centeno y Cabrera,Mayoria Relativa,1959-05-02,Colima,Distrito:1,Mayoría relativa,SI,MORENA
cmdg_chiapas,clementinamartadekkergomez_chiapas,Clementina Marta Dekker Gomez,Mayoria Relativa,1973-04-10,Chiapas,Distrito:5,Mayoría relativa,SI,PT
cjrs_mexico,cruzjuvenalroasanchez_mexico,Cruz Juvenal Roa Sanchez,Mayoria Relativa,1968-05-10,Mexico,Distrito:36,Mayoría relativa,SI,PRI
cfbm_san luis potosi,cuauhtlifernandobadillomoreno_san luis potosi,Cuauhtli Fernando Badillo Moreno,Representacion proporcional,1990-05-11,San Luis Potosi,Circunscripcion:2,Representación proporcional,SI,MORENA
cilc_ciudad de mexico,cynthiailianalopezcastro_ciudad de mexico,Cynthia Iliana Lopez Castro,Representacion proporcional,1987-02-18,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,PRI
dgg_oaxaca,danielgutierrezgutierrez_oaxaca,Daniel Gutierrez Gutierrez,Mayoria Relativa,1976-02-15,Oaxaca,Distrito:10,Mayoría relativa,SI,MORENA
dbr_puebla,davidbautistarivera_puebla,David Bautista Rivera,Representacion proporcional,1981-03-27,Puebla,Circunscripcion:4,Representación proporcional,SI,MORENA
don_mexico,davidorihuelanava_mexico,David Orihuela Nava,Mayoria Relativa,1985-01-31,Mexico,Distrito:23,Mayoría relativa,SI,MORENA
dedbv_coahuila,diegoeduardodelbosquevillarreal_coahuila,Diego Eduardo Del Bosque Villarreal,Representacion proporcional,1990-02-21,Coahuila,Circunscripcion:2,Representación proporcional,SI,MORENA
dvg_mexico,dioniciavazquezgarcia_mexico,Dionicia Vazquez Garcia,Mayoria Relativa,1948-03-29,Mexico,Distrito:2,Mayoría relativa,SI,PT
dpl_ciudad de mexico,dolorespadiernaluna_ciudad de mexico,Dolores Padierna Luna,Mayoria Relativa,1958-05-08,Ciudad de Mexico,Distrito:12,Mayoría relativa,SI,MORENA
dgc_veracruz,dorhenygarciacayetano_veracruz,Dorheny Garcia Cayetano,Representacion proporcional,1990-07-25,Veracruz,Circunscripcion:3,Representación proporcional,SI,MORENA
dagm_oaxaca,dulcealejandragarciamorlan_oaxaca,Dulce Alejandra Garcia Morlan,Representacion proporcional,1978-12-05,Oaxaca,Circunscripcion:3,Representación proporcional,SI,PAN
dmcvg_veracruz,dulcemariacorinavillegasguarneros_veracruz,Dulce Maria Corina Villegas Guarneros,Mayoria Relativa,1966-12-24,Veracruz,Distrito:15,Mayoría relativa,SI,MORENA
dmmdlld_veracruz,dulcemariamendezdelaluzdauzon_veracruz,Dulce Maria Mendez De La Luz Dauzon,Representacion proporcional,1985-10-06,Veracruz,Circunscripcion:3,Representación proporcional,SI,MC
dmsr_yucatan,dulcemariasauririancho_yucatan,Dulce Maria Sauri Riancho,Representacion proporcional,1951-08-14,Yucatan,Circunscripcion:3,,NO,PRI
ejrb_guanajuato,ectorjaimeramirezbarba_guanajuato,Ector Jaime Ramirez Barba,Mayoria Relativa,1956-12-01,Guanajuato,Distrito:5,Mayoría relativa,SI,PAN
essd_nuevo leon,edelmirosantiagosantosdiaz_nuevo leon,Edelmiro Santiago Santos Diaz,Representacion proporcional,1960-07-02,Nuevo Leon,Circunscripcion:2,Representación proporcional,SI,MORENA
egv_puebla,edgarguzmanvaldez_puebla,Edgar Guzman Valdez,Mayoria Relativa,1992-04-19,Puebla,Distrito:7,Mayoría relativa,SI,PES
era_tabasco,ediltrudisrodriguezarellano_tabasco,Ediltrudis Rodriguez Arellano,Representacion proporcional,1954-06-23,Tabasco,Circunscripcion:3,Representación proporcional,SI,MORENA
egr_veracruz,edithgarciarosales_veracruz,Edith Garcia Rosales,Representacion proporcional,1992-10-17,Veracruz,Circunscripcion:3,Representación proporcional,SI,MORENA
emmt_mexico,edithmarisolmercadotorres_mexico,Edith Marisol Mercado Torres,Representacion proporcional,1986-09-15,Mexico,Circunscripcion:5,Representación proporcional,SI,MORENA
err_jalisco,eduardoronramos_jalisco,Eduardo Ron Ramos,Mayoria Relativa,1975-02-24,Jalisco,Distrito:1,,NO,MC
ezs_mexico,eduardozarzosasanchez_mexico,Eduardo Zarzosa Sanchez,Mayoria Relativa,1973-12-16,Mexico,Distrito:9,Mayoría relativa,SI,PRI
erv_chihuahua,efrainrochavega_chihuahua,Efrain Rocha Vega,Representacion proporcional,1955-05-12,Chihuahua,Circunscripcion:1,Representación proporcional,SI,MORENA
eltd_aguascalientes,elbalorenatorresdiaz_aguascalientes,Elba Lorena Torres Diaz,Mayoria Relativa,1977-03-15,Aguascalientes,Distrito:2,Mayoría relativa,SI,PT
eas_veracruz,eleuterioarrietasanchez_veracruz,Eleuterio Arrieta Sanchez,Mayoria Relativa,1955-05-02,Veracruz,Distrito:13,Mayoría relativa,SI,MORENA
ecma_chiapas,emeteriaclaudiamartinezaguilar_chiapas,Emeteria Claudia Martinez Aguilar,Representacion proporcional,1985-03-03,Chiapas,Circunscripcion:3,Representación proporcional,SI,MORENA
emt_mexico,emiliomanzanillatellez_mexico,Emilio Manzanilla Tellez,Mayoria Relativa,1971-04-10,Mexico,Distrito:16,Mayoría relativa,SI,PT
erc_guanajuato,emmanuelreyescarmona_guanajuato,Emmanuel Reyes Carmona,Mayoria Relativa,1987-06-29,Guanajuato,Distrito:13,Mayoría relativa,SI,MORENA
eor_michoacan,enriqueochoareza_michoacan,Enrique Ochoa Reza,Representacion proporcional,1972-09-01,Michoacan,Circunscripcion:5,Representación proporcional,SI,PRI
erg_chihuahua,eracliorodriguezgomez_chihuahua,Eraclio Rodriguez Gomez,Mayoria Relativa,1961-01-04,Chihuahua,Distrito:7,Mayoría relativa,SI,PT
egr_tamaulipas,erasmogonzalezrobledo_tamaulipas,Erasmo Gonzalez Robledo,Mayoria Relativa,1972-06-28,Tamaulipas,Distrito:7,Mayoría relativa,SI,MORENA
eime_baja california,erikisaacmoraleselvira_baja california,Erik Isaac Morales Elvira,Mayoria Relativa,1976-09-01,Baja California,Distrito:7,Mayoría relativa,SI,MORENA
emru_sinaloa,erikamarianarosasuribe_sinaloa,Erika Mariana Rosas Uribe,Representacion proporcional,1984-01-09,Sinaloa,Circunscripcion:1,Representación proporcional,SI,MORENA
evdci_ciudad de mexico,erikavanessadelcastilloibarra_ciudad de mexico,Erika Vanessa Del Castillo Ibarra,Mayoria Relativa,1978-06-10,Ciudad de Mexico,Distrito:1,Mayoría relativa,SI,MORENA
earl_nuevo leon,ernestoalfonsorobledoleal_nuevo leon,Ernesto Alfonso Robledo Leal,Mayoria Relativa,1976-06-06,Nuevo Leon,Distrito:11,Mayoría relativa,SI,PAN
egra_baja california,ernestoguillermoruffoappel_baja california,Ernesto Ruffo Appel,Representacion proporcional,1952-06-25,Baja California,Circunscripcion:1,,NO,PAN
ejna_mexico,ernestojaviernemeralvarez_mexico,Ernesto Javier Nemer Alvarez,Representacion proporcional,1961-07-17,Mexico,Circunscripcion:5,,NO,PRI
evc_nuevo leon,ernestovargascontreras_nuevo leon,Ernesto Vargas Contreras,Mayoria Relativa,1977-03-06,Nuevo Leon,Distrito:8,,NO,PES
edlamm_mexico,esmeraldadelosangelesmorenomedina_mexico,Esmeralda de los Angeles Moreno Medina,Mayoria Relativa,1986-12-19,Mexico,Distrito:26,Mayoría relativa,SI,PES
ebb_michoacan,estebanbarajasbarajas_michoacan,Esteban Barajas Barajas,Mayoria Relativa,1959-01-20,Michoacan,Distrito:2,Mayoría relativa,SI,MORENA
ena_tabasco,estelanunezalvarez_tabasco,Estela Nuñez Alvarez,Mayoria Relativa,1956-08-16,Tabasco,Distrito:1,Mayoría relativa,SI,MORENA
ejrf_veracruz,eulaliojuanriosfararoni_veracruz,Eulalio Juan Rios Fararoni,Mayoria Relativa,1965-04-18,Veracruz,Distrito:20,Mayoría relativa,SI,MORENA
elpr_coahuila,evaristoleninperezrivera_coahuila,Evaristo Lenin Perez Rivera,Mayoria Relativa,1966-10-28,Coahuila,Distrito:1,Mayoría relativa,SI,SinPartido
frglh_jalisco,fabiolaraquelguadalupeloyahernandez_jalisco,Fabiola Raquel Guadalupe Loya Hernandez,Mayoria Relativa,1974-11-05,Jalisco,Distrito:6,Mayoría relativa,SI,MC
ffa_michoacan,felicianofloresanguiano_michoacan,Feliciano Flores Anguiano,Mayoria Relativa,1971-05-28,Michoacan,Distrito:1,Mayoría relativa,SI,MORENA
ffmo_queretaro,felipefernandomaciasolvera_queretaro,Felipe Fernando Macias Olvera,Mayoria Relativa,1986-04-04,Queretaro,Distrito:4,Mayoría relativa,SI,PAN
fradll_mexico,feliperafaelarvizudelaluz_mexico,Felipe Rafael Arvizu De La Luz,Mayoria Relativa,1974-09-09,Mexico,Distrito:12,Mayoría relativa,SI,MORENA
fddlfh_coahuila,fernandodonatodelasfuenteshernandez_coahuila,Fernando Donato De las Fuentes Hernandez,Mayoria Relativa,1960-08-07,Coahuila,Distrito:7,Mayoría relativa,SI,PRI
fgf_ciudad de mexico,fernandogalindofavela_ciudad de mexico,Fernando Galindo Favela,Representacion proporcional,1978-05-06,Ciudad de Mexico,Circunscripcion:4,Representación proporcional,SI,PRI
flmp_puebla,fernandoluismanzanillaprieto_puebla,Fernando Luis Manzanilla Prieto,Mayoria Relativa,1968-05-10,Puebla,Distrito:12,Mayoría relativa,SI,PES
ftg_guanajuato,fernandotorresgraciano_guanajuato,Fernando Torres Graciano,Representacion proporcional,1970-08-27,Guanajuato,Circunscripcion:2,Representación proporcional,SI,PAN
fimm_ciudad de mexico,florivonemoralesmiranda_ciudad de mexico,Flor Ivone Morales Miranda,Mayoria Relativa,1968-10-05,Ciudad de Mexico,Distrito:21,,NO,MORENA
