inic_edo,nom_edo,Nombre,UltimoGradoEstudios,TipoLegislacion,tipoEleccion,FechaNacimiento,estado,entidad,Reeleccion,Partido,PreparacionAcademica,,,,
alr_guerrero,abelinalopezrodriguez_guerrero,Abelina Lopez Rodriguez,Maestría,Diputada Propietario,Mayoria Relativa,23/09/1965,Guerrero,Distrito:4,SI,MORENA,,,,,
aap_jalisco,abrilalcalapadilla_jalisco,Abril Alcala Padilla,Doctorado,Diputada Propietario,Mayoria Relativa,28/04/1979,Jalisco,Distrito:8,SI,PRD,,,,,
ago_jalisco,absalongarciaochoa_jalisco,Absalon Garcia Ochoa,Licenciatura,Diputado Propietario,Mayoria Relativa,23/09/1971,Jalisco,Distrito:15,SI,PAN,Derecho,,,,
apb_ciudad de mexico,adelapinabernal_ciudad de mexico,Adela Piña Bernal,Licenciatura,Diputada Propietario,Representacion proporcional,28/12/1964,Ciudad de Mexico,Circunscripcion:4,SI,MORENA,Ciencias de la educación,,,,
atr_michoacan,adolfotorresramirez_michoacan,Adolfo Torres Ramirez,Licenciatura,Diputado Propietario,Representacion proporcional,18/11/1980,Michoacan,Circunscripcion:5,SI,PAN,Administración y contaduría,,,,
aav_san luis potosi,adrianaaguilarvazquez_san luis potosi,Adriana Aguilar Vazquez,Secundaria,Diputada Propietario,Representacion proporcional,20/07/1977,San Luis Potosi,Circunscripcion:2,NO,PAN,,,,,
adf_tlaxcala,adrianadavilafernandez_tlaxcala,Adriana Davila Fernandez,Licenciatura,Diputada Propietario,Representacion proporcional,30/12/1970,Tlaxcala,Circunscripcion:4,SI,PAN,Comunicación,,,,0
agmo_jalisco,adrianagabrielamedinaortiz_jalisco,Adriana Gabriela Medina Ortiz,Licenciatura,Diputada Propietario,Mayoria Relativa,25/06/1979,Jalisco,Distrito:12,NO,MC,Derecho,,,,
alr_tamaulipas,adrianalozanorodriguez_tamaulipas,Adriana Lozano Rodriguez,Licenciatura,Diputada Propietario,Mayoria Relativa,26/06/1969,Tamaulipas,Distrito:4,SI,PES,Derecho,,,,
amgedlmg_ciudad de mexico,adrianamariaguadalupeespinosadelosmonterosgarcia_ciudad de mexico,Adriana Maria Guadalupe Espinosa de los Monteros,Licenciatura,Diputada Propietario,Mayoria Relativa,11/12/1972,Ciudad de Mexico,Distrito:9,SI,MORENA,Derecho,,,,
aptz_quintana roo,adrianapaulinateissierzavala_quintana roo,Adriana Paulina Teissier Zavala,Licenciatura,Diputada Propietario,Mayoria Relativa,20/07/1967,Quintana Roo,Distrito:1,SI,PES,,,,,
agr_michoacan,agustingarciarubio_michoacan,Agustin Garcia Rubio,Licenciatura,Diputado Propietario,Representacion proporcional,05/06/1973,Michoacan,Circunscripcion:5,NO,MORENA,Económico-financiera,,,,
arhg_puebla,agustinreynaldohuertagonzalez_puebla,Agustin Reynaldo Huerta Gonzalez,Licenciatura,Diputado Propietario,Representacion proporcional,07/05/1962,Puebla,Circunscripcion:4,SI,MORENA,Ingeniería,,,,
ajfs_chihuahua,alanjesusfalomirsaenz_chihuahua,Alan Jesus Falomir Saenz,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,23/02/1981,Chihuahua,Distrito:8,SI,MC,Ingeniería,,,,
aeg_jalisco,albertoesquergutierrez_jalisco,Alberto Esquer Gutierrez,Maestría,Diputado Propietario,Mayoria Relativa,07/11/1978,Jalisco,Distrito:19,NO,MC,,,,,
avv_jalisco,albertovillavillegas_jalisco,Alberto Villa Villegas,Licenciatura,Diputado Propietario,Representacion proporcional,25/10/1972,Jalisco,Circunscripcion:1,SI,MORENA,Administración y contaduría,,,,
aar_ciudad de mexico,aleidaalavezruiz_ciudad de mexico,Aleida Alavez Ruiz,Licenciatura,Diputada Propietario,Mayoria Relativa,10/01/1974,Ciudad de Mexico,Distrito:19,SI,MORENA,Comunicación,,,,
apb_morelos,alejandrapanibarragan_morelos,Alejandra Pani Barragan,Licenciatura,Diputada Propietario,Mayoria Relativa,17/07/1964,Morelos,Distrito:2,SI,MORENA,Administración y contaduría,,,,
abc_puebla,alejandrobarrosochavez_puebla,Alejandro Barroso Chavez,Preparatoria,Diputado Propietario,Mayoria Relativa,04/01/1981,Puebla,Distrito:15,SI,PT,,,,,
ach_puebla,alejandrocarvajalhidalgo_puebla,Alejandro Carvajal Hidalgo,Licenciatura,Diputado Propietario,Mayoria Relativa,02/08/1980,Puebla,Distrito:6,SI,MORENA,Derecho,,,,
amt_morelos,alejandromojicatoledo_morelos,Alejandro Mojica Toledo,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,12/01/1955,Morelos,Distrito:1,NO,MORENA,Administración y contaduría,,,,
apc_oaxaca,alejandroponcecobos_oaxaca,Alejandro Ponce Cobos,No disponible,Diputado Propietario,Representacion proporcional,17/04/1972,Oaxaca,Circunscripcion:3,SI,MORENA,,,,,
avv_mexico,alejandroviedmavelazquez_mexico,Alejandro Viedma Velazquez,Licenciatura,Diputado Propietario,Representacion proporcional,11/11/1991,Mexico,Circunscripcion:5,SI,MORENA,Ciencias políticas y sociales,,,,
arc_ciudad de mexico,alfonsoramirezcuellar_ciudad de mexico,Alfonso Ramirez Cuellar,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,14/06/1959,Ciudad de Mexico,Distrito:14,SI,MORENA,Derecho,,,,
afb_zacatecas,alfredofematbanuelos_zacatecas,Alfredo Femat Bañuelos,Maestría,Diputado Propietario,Mayoria Relativa,12/01/1961,Zacatecas,Distrito:3,SI,PT,Económico-financiera,,,,
apd_baja california sur,alfredoporrasdominguez_baja california sur,Alfredo Porras Dominguez,Licenciatura,Diputado Propietario,Mayoria Relativa,21/02/1957,Baja California Sur,Distrito:2,SI,PT,Ciencias políticas y sociales,,,,
avv_chiapas,alfredovazquezvazquez_chiapas,Alfredo Vazquez Vazquez,Licenciatura,Diputado Propietario,Mayoria Relativa,27/01/1981,Chiapas,Distrito:3,SI,MORENA,,,,,
ava_sinaloa,alfredovillegasarreola_sinaloa,Alfredo Villegas Arreola,Licenciatura,Diputado Propietario,Representacion proporcional,12/01/1951,Sinaloa,Circunscripcion:1,SI,PRI,Ingeniería,,,,
adnr_mexico,almadelianavarreterivera_mexico,Alma Delia Navarrete Rivera,Pasante/Licenciatura trunca,Diputada Propietario,Mayoria Relativa,29/07/1972,Mexico,Distrito:10,SI,MORENA,Ciencias políticas y sociales,,,,
amvr_durango,almamarinavitelarodriguez_durango,Alma Marina Vitela Rodriguez,Licenciatura,Diputada Propietario,Mayoria Relativa,26/12/1965,Durango,Distrito:2,NO,MORENA,,,,,
agge_sonora,anagabrielaguevaraespinoza_sonora,Ana Gabriela Guevara Espinoza,Preparatoria,Diputada Propietario,Mayoria Relativa,04/03/1977,Sonora,Distrito:2,NO,PT,,,,,
akrp_ciudad de mexico,anakarinarojopimentel_ciudad de mexico,Ana Karina Rojo Pimentel,Pasante/Licenciatura trunca,Diputada Propietario,Mayoria Relativa,28/11/1976,Ciudad de Mexico,Distrito:20,SI,PT,,,,,
algq_michoacan,analiliaguillenquiroz_michoacan,Ana Lilia Guillen Quiroz,No disponible,Diputada Propietario,Mayoria Relativa,05/02/1955,Michoacan,Distrito:8,SI,MORENA,,,,,
alha_mexico,analiliaherreraanzaldo_mexico,Ana Lilia Herrera Anzaldo,Maestría,Diputada Propietario,Representacion proporcional,29/08/1971,Mexico,Circunscripcion:5,SI,PRI,Otra,,,,
alrm_ciudad de mexico,analuciariojasmartinez_ciudad de mexico,Ana Lucia Riojas Martinez,Licenciatura,Diputada Propietario,Representacion proporcional,25/02/1988,Ciudad de Mexico,Circunscripcion:4,SI,SinPartido,Comunicación,,,,
amrr_ciudad de mexico,anamariarodriguezruiz_ciudad de mexico,Ana Maria Rodriguez Ruiz,Preparatoria,Diputada Propietario,Mayoria Relativa,23/07/1962,Ciudad de Mexico,Distrito:18,SI,MORENA,,,,,
aplb_queretaro,anapaolalopezbirlain_queretaro,Ana Paola Lopez Birlain,Maestría,Diputada Propietario,Mayoria Relativa,21/09/1981,Queretaro,Distrito:5,SI,PAN,Ciencias políticas y sociales,,,,
