nombre,subj,col_1,col_2,anos
franciscojavierluevanonunez,escolaridad,Carrera Trunca,Diseno Grafico,1998-2003
franciscojavierluevanonunez,trayectoriapolitica,"Secretario Municipal de Accion Juvenil Calvillo, Aguascalientes",PAN,2002-2003
franciscojavierluevanonunez,trayectoriapolitica,"Secretario Estatal de Accion Juvenil, Aguascalientes",PAN,2003-2005
franciscojavierluevanonunez,trayectoriapolitica,"Consejero Estatal, Aguascalientes",PAN,2008 a la fecha
franciscojavierluevanonunez,trayectoriapolitica,"Secretario General Adjunto Comite Directivo Estatal, Aguascalientes",PAN,2010-2011
franciscojavierluevanonunez,cargosdeeleccionpopular,"Presidente Municipal, Aguascalientes - Calvillo",PAN,2014-2016
franciscojavierluevanonunez,experiencialegislativa,"Diputada(o) Local Propietario, PAN",LX Legislatura,2007-2010
franciscojavierluevanonunez,administracionpublicalocal,Secretario General,Gobierno del Estado de Aguascalientes,2016-2018
elbalorenatorresdiaz,escolaridad,Licenciatura,Medico Cirujano,1995-2000
elbalorenatorresdiaz,escolaridad,Taller,Curso Integral de Proteccion Civil,2013
elbalorenatorresdiaz,escolaridad,Curso,Manejo Higienico de los Alimentos,2017
elbalorenatorresdiaz,administracionpublicafederal,Medico Familiar,IMSS,2006-a la fecha
elbalorenatorresdiaz,iniciativaprivada,Medico,Club Futurama,1997-1999
elbalorenatorresdiaz,iniciativaprivada,Jefe del Departamento de Servicio Medico,UNITEC,2000-2001
elbalorenatorresdiaz,iniciativaprivada,Medico,Comision de Box y Lucha de Mexico,20018 a la fecha
elbalorenatorresdiaz,iniciativaprivada,Medico encargado del Servicio de Urgencias de fin de semana,Clinica Medica San Juan,2002-2005
elbalorenatorresdiaz,iniciativaprivada,Medico encargado del Servicio de Urgencias Nocturna,Clinica Guadalupe,2003-2005
marthaelisagonzalezestrada,escolaridad,Maestria,Administracion,2000-2004
marthaelisagonzalezestrada,escolaridad,Licenciatura,Contaduria Publica,1994-1999
marthaelisagonzalezestrada,trayectoriapolitica,Coordinadora estatal Pro joven,PAN,2002-2003
marthaelisagonzalezestrada,trayectoriapolitica,Consejera estatal,PAN,2002-2011/2016-2019
marthaelisagonzalezestrada,trayectoriapolitica,Consejera nacional,PAN,2004-2007/2016-2019
marthaelisagonzalezestrada,trayectoriapolitica,Secretaria de Promocion Politica de la Mujer,PAN,2005-2010
marthaelisagonzalezestrada,trayectoriapolitica,Integrante de la Comision estatal de Elecciones,PAN,2006
marthaelisagonzalezestrada,trayectoriapolitica,Comision Permanente estatal,PAN,2016-2019
marthaelisagonzalezestrada,cargosdeeleccionpopular,"Sindico(a), Aguascalientes - Aguascalientes",PAN,2001-2004
marthaelisagonzalezestrada,experiencialegislativa,"Diputada(o) Local Propietario, PAN",LIX Legislatura,2004-2007
marthaelisagonzalezestrada,experiencialegislativa,"Diputada(o) Local Propietario, PAN",LXIII Legislatura,2016-2018
marthaelisagonzalezestrada,administracionpublicalocal,Administradora,"Delegacion Municipal, Ciudad Satelite, Morelos",1998-2000
marthaelisagonzalezestrada,administracionpublicalocal,Coordinadora de Capacitacion,Observatorio Ciudadano de Transparencia y Gestion Publica,2011-2013
marthaelisagonzalezestrada,administracionpublicalocal,Directora General,"Instituto Municipal de la Mujer, Aguascalientes",Enero 2014-Marzo 2016
marthaelisagonzalezestrada,iniciativaprivada,Asesora Contable y Fiscal,Despacho Velazquez y Asociados,1996-2000
marthaelisagonzalezestrada,asociacionesalasquepertenece,Presidenta,Hidrocalidos en Accion A.C.,nov-07
marthaelisagonzalezestrada,actividadesdocentes,Ponente,"Foro: Por tI, por mi, por todas",dic-17
marthaelisagonzalezestrada,actividadesdocentes,Conferencista,Conferencia: Voto Femenino en Mexico,oct-17
marthaelisagonzalezestrada,publicaciones,Mujer y Politica,Revista,mar-16
marthaelisagonzalezestrada,cargosenlegislaturaslocalesofederales,"Asesora, H. Congreso del estado",LX Legislatura,
jesussalvadorminormora,escolaridad,Licenciatura,Administracion,
jesussalvadorminormora,experiencialegislativa,"Diputada(o) Local Propietario, PRI",XV Legislatura,1995-1998
jesussalvadorminormora,administracionpublicafederal,Administracion,Secretaria de la Reforma Agraria,1980-1982
jesussalvadorminormora,administracionpublicafederal,Administracion,ISSSTE,1983-1986
jesussalvadorminormora,administracionpublicalocal,Administracion,Bienes Raices del Estado de Baja California,1973-1975
jesussalvadorminormora,administracionpublicalocal,Auditor,Auditoria Fiscal del Estado de Baja California,1976-1977
jesussalvadorminormora,iniciativaprivada,Propietario,Servicio de paqueteria Jesus Salvador Minor Mora,1985 a la fecha
jesussalvadorminormora,iniciativaprivada,Propietario,Empresas Agrocola Jesus Salvador Minor Mora,A la fecha
jesussalvadorminormora,asociacionesalasquepertenece,Presidente,Comite Estatal de Sanidad Vegetal,No proporciono
marinadelpilaravilaolmeda,escolaridad,Maestria,Derecho Publico,2010-2011
marinadelpilaravilaolmeda,escolaridad,Maestria,Administracion Publica,2014-2016
marinadelpilaravilaolmeda,escolaridad,Licenciatura,Derecho,2004-2009
marinadelpilaravilaolmeda,trayectoriapolitica,Candidata a Diputada Local Distrito 3,Morena,2016
marinadelpilaravilaolmeda,trayectoriapolitica,Coordinadora de Organizacion,Morena,2016-2017
marinadelpilaravilaolmeda,administracionpublicafederal,Enlace de la Secretaria de Gobernacion para dar Apoyo y Seguimiento al Subsidio SUBSEMUN Secretaria de Gobernacion,Sistema Nacional de Seguridad Publica,2012
marinadelpilaravilaolmeda,actividadesdocentes,Docente,Asignatura: Teoria Economica,2013-2017
armandoreyesledesma,escolaridad,Bachillerato,Nivel Medio Superior,
armandoreyesledesma,trayectoriapolitica,Coordinador Estatal,PT,2010 - actual
armandoreyesledesma,cargosdeeleccionpopular,"Regidor(a), Baja California - Ensenada",PT,2004 - 2007
armandoreyesledesma,cargosdeeleccionpopular,"Regidor(a), Baja California - Ensenada",PT,2010 - 2013
armandoreyesledesma,experiencialegislativa,"Diputada(o) Local Propietario, PT",XXI Legislatura,2013 - 2016
socorroirmaandazolagomez,escolaridad,Licenciatura,Derecho,2011-2015
socorroirmaandazolagomez,trayectoriapolitica,Consejera Estatal,MORENA,2015-A la fecha
