inic_edo,nom_edo,nombre,tipo_elec,onomastico,suplente,edo,ent,ent_2,correo,ext
fjln_aguascalientes,franciscojavierluevanonunez_aguascalientes,Dip. Francisco Javier Luevano Nunez,Mayoria Relativa,01-jul-79,Gustavo Armendariz Viramontes,Aguascalientes,Distrito:1,H-249,francisco.luevano@diputados.gob.mx,59907
eltd_aguascalientes,elbalorenatorresdiaz_aguascalientes,Dip. Elba Lorena Torres Diaz (LICENCIA),Mayoria Relativa,15-mar-77,Haydee Hernandez Munoz,Aguascalientes,Distrito:2,H-278,elba.torres@diputados.gob.mx,62100
mege_aguascalientes,marthaelisagonzalezestrada_aguascalientes,Dip. Martha Elisa Gonzalez Estrada (LICENCIA),Mayoria Relativa,29-ene-77,Claudia Patricia Torres Lopez(en funciones),Aguascalientes,Distrito:3,E-119,elisa.gonzalez@diputados.gob.mx,59911
jsmm_baja california,jesussalvadorminormora_baja california,Dip. Jesus Salvador Minor Mora,Mayoria Relativa,01-jun-51,Juan Melendrez Espinoza,Baja California,Distrito:1,L-453,jesus.minor@diputados.gob.mx,61368
mdpao_baja california,marinadelpilaravilaolmeda_baja california,Dip. Marina del Pilar Avila Olmeda (LICENCIA),Mayoria Relativa,19-oct-85,Martha Lizeth Noriega Galaz(en funciones),Baja California,Distrito:2,K-410,marina.avila@diputados.gob.mx,61372
arl_baja california,armandoreyesledesma_baja california,Dip. Armando Reyes Ledesma,Mayoria Relativa,10-abr-72,Christian Hiram Dunn Fitch,Baja California,Distrito:3,F-198,armando.reyes@diputados.gob.mx,62030
siag_baja california,socorroirmaandazolagomez_baja california,Dip. Socorro Irma Andazola Gomez,Mayoria Relativa,22-sep-64,Carlota Lara Guzman,Baja California,Distrito:4,L-451,socorro.andazola@diputados.gob.mx,61370
mimg_baja california,marioismaelmorenogil_baja california,Dip. Mario Ismael Moreno Gil,Mayoria Relativa,17-jun-48,Luis Javier Algorri Franco,Baja California,Distrito:5,L-452,ismael.moreno@diputados.gob.mx,61327
jjcp_baja california,javierjuliancastanedapomposo_baja california,Dip. Javier Julian Castaneda Pomposo (LICENCIA),Mayoria Relativa,07-oct-67,Erwin Jorge Areizaga Uribe(en funciones),Baja California,Distrito:6,G-237,javier.castaneda@diputados.gob.mx,61810
eime_baja california,erikisaacmoraleselvira_baja california,Dip. Erik Isaac Morales Elvira,Mayoria Relativa,01-sep-76,Armando Teran Corella,Baja California,Distrito:7,K-411,erik.morales@diputados.gob.mx,61374
hrca_baja california,hectorrenecruzaparicio_baja california,Dip. Hector Rene Cruz Aparicio (LICENCIA),Mayoria Relativa,27-dic-82,Alfredo Rivas Aispuro(en funciones),Baja California,Distrito:8,P-508,hector.cruz@diputados.gob.mx,53009
argg_baja california sur,anaruthgarciagrande_baja california sur,Dip. Ana Ruth Garcia Grande,Mayoria Relativa,30-may-71,Yolanda Jimenez Espinoza,Baja California Sur,Distrito:1,G-240,ruth.garcia@diputados.gob.mx,65052
apd_baja california sur,alfredoporrasdominguez_baja california sur,Dip. Alfredo Porras Dominguez,Mayoria Relativa,21-feb-57,Marco Antonio Cesena Sandoval,Baja California Sur,Distrito:2,D-115,alfredo.porras@diputados.gob.mx,62010
cema_campeche,carlosenriquemartinezake_campeche,Dip. Carlos Enrique Martinez Ake,Mayoria Relativa,25-abr-77,Daniel Jesus Gomez Vargas,Campeche,Distrito:1,G-219,cenrique.martinez@diputados.gob.mx,61566
idcbd_campeche,irasemadelcarmenbuenfildiaz_campeche,Dip. Irasema del Carmen Buenfil Diaz,Mayoria Relativa,22-ago-58,Azalia del Carmen Kuri Garcia,Campeche,Distrito:2,E-151,irasema.buenfil@diputados.gob.mx,61865
evdci_ciudad de mexico,erikavanessadelcastilloibarra_ciudad de mexico,Dip. Erika Vanessa Del Castillo Ibarra,Mayoria Relativa,10-jun-78,Veronica Bustamante Martinez,Ciudad de Mexico,Distrito:1,G-225,erika.delcastillo@diputados.gob.mx,66418
age_ciudad de mexico,armandogonzalezescoto_ciudad de mexico,Dip. Armando Gonzalez Escoto,Mayoria Relativa,27-ago-67,Juan Javier Calva Hernandez,Ciudad de Mexico,Distrito:2,E-154,agonzalez.escoto@diputados.gob.mx,61829
majmdo_ciudad de mexico,miguelangeljaureguimontesdeoca_ciudad de mexico,Dip. Miguel Angel Jauregui Montes de Oca,Mayoria Relativa,19-feb-75,Gerardo Vallejo Rodriguez,Ciudad de Mexico,Distrito:3,J-351,miguel.jauregui@diputados.gob.mx,61252
gfn_ciudad de mexico,gerardofernandeznorona_ciudad de mexico,Dip. Gerardo Fernandez Norona,Mayoria Relativa,19-mar-60,Balfre Vargas Cortez,Ciudad de Mexico,Distrito:4,A-024,jgerardo.fernandez@diputados.gob.mx,62098
clr_ciudad de mexico,claudialopezrayon_ciudad de mexico,Dip. Claudia Lopez Rayon,Mayoria Relativa,22-abr-73,Gabriela Romero Martinez,Ciudad de Mexico,Distrito:5,K-396,claudia.lopez@diputados.gob.mx,61250
smb_ciudad de mexico,sergiomayerbreton_ciudad de mexico,Dip. Sergio Mayer Breton,Mayoria Relativa,21-may-66,Oscar Bernache Dominguez,Ciudad de Mexico,Distrito:6,E-140,sergio.mayer@diputados.gob.mx,67078
brm_ciudad de mexico,beatrizrojasmartinez_ciudad de mexico,Dip. Beatriz Rojas Martinez,Mayoria Relativa,21-dic-66,Erika Nayat Montes Casillas,Ciudad de Mexico,Distrito:7,G-224,beatriz.rojas@diputados.gob.mx,61688
mr_ciudad de mexico,mariarosete_ciudad de mexico,Dip. Maria Rosete,Mayoria Relativa,12-mar-60,Eloisa Micaela Montano Covarrubias,Ciudad de Mexico,Distrito:8,C-078,maria.rosete@diputados.gob.mx,62100
amgedlmg_ciudad de mexico,adrianamariaguadalupeespinosadelosmonterosgarcia_ciudad de mexico,Dip. Adriana Maria Guadalupe Espinosa de los Monteros Garcia,Mayoria Relativa,11-dic-72,Mariela Santos Rojo,Ciudad de Mexico,Distrito:9,E-142,adriana.espinosa@diputados.gob.mx,61262
jahp_ciudad de mexico,javierarielhidalgoponce_ciudad de mexico,Dip. Javier Ariel Hidalgo Ponce,Mayoria Relativa,14-may-60,Luis Daniel Reyes Amezaga,Ciudad de Mexico,Distrito:10,G-226,javier.hidalgo@diputados.gob.mx,61634
rbb_ciudad de mexico,rociobarrerabadillo_ciudad de mexico,Dip. Rocio Barrera Badillo (LICENCIA),Mayoria Relativa,01-oct-76,Maria Martha Garcia Flores,Ciudad de Mexico,Distrito:11,E-141,rocio.barrera@diputados.gob.mx,61302
dpl_ciudad de mexico,dolorespadiernaluna_ciudad de mexico,Dip. Dolores Padierna Luna,Mayoria Relativa,08-may-58,Montserrat Navarro Perez,Ciudad de Mexico,Distrito:12,P-503,dolores.padierna@diputados.gob.mx,8322
