created,text,retwc,hashtag,followers,friends
2021-10-21 01:18:44,"b'RT @Angeliketm: \xe2\x8f\xb3ENCUESTA DE MEDIA SEMANA, EN VISTA DE LA CONTRAREFORMA ENERG\xc3\x89TICA \xe2\x8f\xb3\n\n\xc2\xbfPara usted que energ\xc3\xadas son mejores para M\xc3\xa9xico?'",36,None,16808,8975
2021-10-21 01:18:30,"b'RT @Angeliketm: \xe2\x8f\xb3ENCUESTA DE MEDIA SEMANA, EN VISTA DE LA CONTRAREFORMA ENERG\xc3\x89TICA \xe2\x8f\xb3\n\n\xc2\xbfPara usted que energ\xc3\xadas son mejores para M\xc3\xa9xico?'",36,None,561,1353
2021-10-21 00:58:52,"b'RT @ChairosY: \xc2\xa1Gran noticia!\nSin cambiar los Estatutos, el plan de acci\xc3\xb3n y la declaraci\xc3\xb3n de principios (Que solo podr\xc3\xadan hacer en una Asa\xe2\x80\xa6'",12,None,626,837
2021-10-21 00:41:11,"b'@AnaPOrdorica Cuando vayan a votar la CONTRAREFORMA ELECTRICA, se caer\xc3\xa1 el sistema.'",0,None,225,695
2021-10-21 00:41:09,"b'RT @ChairosY: \xc2\xa1Gran noticia!\nSin cambiar los Estatutos, el plan de acci\xc3\xb3n y la declaraci\xc3\xb3n de principios (Que solo podr\xc3\xadan hacer en una Asa\xe2\x80\xa6'",12,None,5659,5644
2021-10-21 00:21:16,b'@charlyboy1976 @EderJourdan @damianzepeda @lopezobrador_ Esos a los que les pides que no voten la contrareforma jaj\xe2\x80\xa6 https://t.co/J4VhcVpsDW',0,None,878,1112
2021-10-21 00:18:31,b'@27_Cadanova @FelipeCalderon El punto es que opinas de la Contrareforma El\xc3\xa9ctrica? Lo apoyas? Y por que?',0,None,118,467
2021-10-20 23:52:13,b'@13_iracheta Considero que alito se quemar\xc3\xa1 de gratis en caso de lograr los votos  que apoyasen la contrareforma Qu\xe2\x80\xa6 https://t.co/QsfAfiwbL2',0,None,1597,1658
2021-10-20 23:35:19,"b'RT @lamusitapg: No te vamos a permitir que te salgas con tu PEDORRA, RETR\xc3\x93GRADA y ST\xc3\x9aPIDA contrareforma el\xc3\xa9ctrica PERRO SARNOSO SOCIALISTA\xe2\x80\xa6'",43,None,1011,1457
2021-10-20 23:32:21,"b'RT @lamusitapg: No te vamos a permitir que te salgas con tu PEDORRA, RETR\xc3\x93GRADA y ST\xc3\x9aPIDA contrareforma el\xc3\xa9ctrica PERRO SARNOSO SOCIALISTA\xe2\x80\xa6'",43,None,741,888
2021-10-20 23:21:54,b'@ilpericus @marioal21244502 @FelipeCalderon Energ\xc3\xadas limpias? Y que quieren. Hacer con la contrareforma? \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',0,None,1416,1727
2021-10-20 23:13:05,b'@PArmendarizMX  y pones en tu biograf\xc3\xada protecci\xc3\xb3n al medio ambiente no tienes madre ya quiero ver c\xc3\xb3mo votas la co\xe2\x80\xa6 https://t.co/iyOu9Lsq8A',0,None,86,69
2021-10-20 22:20:44,"b'RT @Angeliketm: \xe2\x8f\xb3ENCUESTA DE MEDIA SEMANA, EN VISTA DE LA CONTRAREFORMA ENERG\xc3\x89TICA \xe2\x8f\xb3\n\n\xc2\xbfPara usted que energ\xc3\xadas son mejores para M\xc3\xa9xico?'",36,None,4215,4953
2021-10-20 22:19:52,"b'RT @Angeliketm: \xe2\x8f\xb3ENCUESTA DE MEDIA SEMANA, EN VISTA DE LA CONTRAREFORMA ENERG\xc3\x89TICA \xe2\x8f\xb3\n\n\xc2\xbfPara usted que energ\xc3\xadas son mejores para M\xc3\xa9xico?'",36,None,6872,5577
2021-10-20 21:54:44,"b'RT @Angeliketm: \xe2\x8f\xb3ENCUESTA DE MEDIA SEMANA, EN VISTA DE LA CONTRAREFORMA ENERG\xc3\x89TICA \xe2\x8f\xb3\n\n\xc2\xbfPara usted que energ\xc3\xadas son mejores para M\xc3\xa9xico?'",36,None,3410,3548
2021-10-20 21:26:40,b'RT @carloselizondom: Un art\xc3\xadculo a favor de la contrareforma el\xc3\xa9ctrica. Usted juzgue. https://t.co/QtCoZVLApY',6,None,4210,3739
2021-10-20 21:12:42,"b'RT @Angeliketm: \xe2\x8f\xb3ENCUESTA DE MEDIA SEMANA, EN VISTA DE LA CONTRAREFORMA ENERG\xc3\x89TICA \xe2\x8f\xb3\n\n\xc2\xbfPara usted que energ\xc3\xadas son mejores para M\xc3\xa9xico?'",36,None,519,938
2021-10-20 21:09:13,"b'RT @Angeliketm: \xe2\x8f\xb3ENCUESTA DE MEDIA SEMANA, EN VISTA DE LA CONTRAREFORMA ENERG\xc3\x89TICA \xe2\x8f\xb3\n\n\xc2\xbfPara usted que energ\xc3\xadas son mejores para M\xc3\xa9xico?'",36,None,2406,2525
2021-10-20 21:07:26,b'@tvmind Te convienen los paneles solares. Tengo la informaci\xc3\xb3n que no se ver\xc3\xa1n afectados en caso de la aprobaci\xc3\xb3n d\xe2\x80\xa6 https://t.co/V5PhsJYMnh',0,None,1902,2178
2021-10-20 21:02:26,b'RT @carlos_carcam: Sobre la contrareforma energ\xc3\xa9tica de @lopezobrador_ https://t.co/ZkW7Cj4URt',20,None,2855,4996
2021-10-20 21:00:43,b'La contrareforma el\xc3\xa9ctrica. \nhttps://t.co/ZkvsYtRub8',0,None,1794,2345
2021-10-20 21:00:12,"b'RT @Angeliketm: \xe2\x8f\xb3ENCUESTA DE MEDIA SEMANA, EN VISTA DE LA CONTRAREFORMA ENERG\xc3\x89TICA \xe2\x8f\xb3\n\n\xc2\xbfPara usted que energ\xc3\xadas son mejores para M\xc3\xa9xico?'",36,None,2532,3058
2021-10-20 20:54:13,"b'RT @Angeliketm: \xe2\x8f\xb3ENCUESTA DE MEDIA SEMANA, EN VISTA DE LA CONTRAREFORMA ENERG\xc3\x89TICA \xe2\x8f\xb3\n\n\xc2\xbfPara usted que energ\xc3\xadas son mejores para M\xc3\xa9xico?'",36,None,1920,1764
2021-10-20 20:45:40,"b'RT @Angeliketm: \xe2\x8f\xb3ENCUESTA DE MEDIA SEMANA, EN VISTA DE LA CONTRAREFORMA ENERG\xc3\x89TICA \xe2\x8f\xb3\n\n\xc2\xbfPara usted que energ\xc3\xadas son mejores para M\xc3\xa9xico?'",36,None,9875,3931
2021-10-20 20:26:21,b'\xc2\xbfLa #ContraReforma energ\xc3\xa9tica beneficia realmente a CFE? \n\nEs m\xc3\xa1s\xe2\x80\xa6\n\n\xc2\xbfBeneficia realmente a los due\xc3\xb1os de la CFE (lo\xe2\x80\xa6 https://t.co/r1sUH87lOB',1,ContraReforma,3358,1507
2021-10-20 20:21:33,"b'@optomac @sergioaguayo Difiero... la ContraReforma de Lopez es una tonteria, casi el 100% de lo que ellos han dicho\xe2\x80\xa6 https://t.co/xKLL2H6zY0'",0,None,14,334
