created,text,retwc,hashtag,followers,friends
2021-10-21 01:46:29,"b'RT @DJMatus: La econom\xc3\xada estadounidense es la gr\xc3\xbaa, la econom\xc3\xada mexicana es el auto desbielado, y la contrarreforma el\xc3\xa9ctrica es el freno d\xe2\x80\xa6'",13,None,1302,1504
2021-10-21 01:44:58,"b'RT @DJMatus: La econom\xc3\xada estadounidense es la gr\xc3\xbaa, la econom\xc3\xada mexicana es el auto desbielado, y la contrarreforma el\xc3\xa9ctrica es el freno d\xe2\x80\xa6'",13,None,3193,2999
2021-10-21 01:44:35,"b'RT @DJMatus: La econom\xc3\xada estadounidense es la gr\xc3\xbaa, la econom\xc3\xada mexicana es el auto desbielado, y la contrarreforma el\xc3\xa9ctrica es el freno d\xe2\x80\xa6'",13,None,51566,29966
2021-10-21 01:44:26,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,213,348
2021-10-21 01:43:04,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,3260,3277
2021-10-21 01:42:31,"b'RT @DJMatus: La econom\xc3\xada estadounidense es la gr\xc3\xbaa, la econom\xc3\xada mexicana es el auto desbielado, y la contrarreforma el\xc3\xa9ctrica es el freno d\xe2\x80\xa6'",13,None,20269,6364
2021-10-21 01:42:28,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,67,111
2021-10-21 01:42:02,b'RT @RockStroke: Mi querido @jorgeacast d\xc3\xa1ndole una c\xc3\xa1tedra sobre la contrarreforma el\xc3\xa9ctrica del demagogo a los limitad\xc3\xadsimos paleros del r\xe2\x80\xa6',46,None,146,145
2021-10-21 01:41:55,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,680,3756
2021-10-21 01:41:43,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,2546,3892
2021-10-21 01:41:16,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,660,4988
2021-10-21 01:41:01,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,17,198
2021-10-21 01:41:00,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,467,1361
2021-10-21 01:40:48,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,2709,2709
2021-10-21 01:39:41,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,3358,4993
2021-10-21 01:38:57,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,7,58
2021-10-21 01:38:08,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,43,100
2021-10-21 01:38:03,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,387,965
2021-10-21 01:38:02,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,549,882
2021-10-21 01:37:03,"b'RT @DJMatus: La econom\xc3\xada estadounidense es la gr\xc3\xbaa, la econom\xc3\xada mexicana es el auto desbielado, y la contrarreforma el\xc3\xa9ctrica es el freno d\xe2\x80\xa6'",13,None,2545,1424
2021-10-21 01:36:21,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,2314,3001
2021-10-21 01:36:05,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,141,262
2021-10-21 01:34:37,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,835,3395
2021-10-21 01:34:36,"b'RT @13_iracheta: El l\xc3\xadder tricolor sabe lo largo de la cauda que porta, y lo peor para \xc3\xa9l, es que l\xc3\xb3pez tambi\xc3\xa9n lo sabe. \nMorena requiere l\xe2\x80\xa6'",91,None,1988,2525
2021-10-21 01:33:58,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,50,671
2021-10-21 01:33:09,"b'RT @CarlosLoret: La contrarreforma el\xc3\xa9ctrica de L\xc3\xb3pez Obrador tiene un solo objetivo para el presidente, una estrategia calculada a sus int\xe2\x80\xa6'",2324,None,70,237
2021-10-21 01:33:01,"b'RT @13_iracheta: El l\xc3\xadder tricolor sabe lo largo de la cauda que porta, y lo peor para \xc3\xa9l, es que l\xc3\xb3pez tambi\xc3\xa9n lo sabe. \nMorena requiere l\xe2\x80\xa6'",91,None,518,691
2021-10-21 01:32:48,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,18,51
2021-10-21 01:32:40,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,195,401
2021-10-21 01:32:03,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,232,881
2021-10-21 01:32:03,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,39,252
2021-10-21 01:32:03,"b'RT @13_iracheta: El l\xc3\xadder tricolor sabe lo largo de la cauda que porta, y lo peor para \xc3\xa9l, es que l\xc3\xb3pez tambi\xc3\xa9n lo sabe. \nMorena requiere l\xe2\x80\xa6'",91,None,145,86
2021-10-21 01:31:51,"b'RT @13_iracheta: El l\xc3\xadder tricolor sabe lo largo de la cauda que porta, y lo peor para \xc3\xa9l, es que l\xc3\xb3pez tambi\xc3\xa9n lo sabe. \nMorena requiere l\xe2\x80\xa6'",91,None,346,540
2021-10-21 01:31:43,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,51,160
2021-10-21 01:30:33,"b'RT @13_iracheta: El l\xc3\xadder tricolor sabe lo largo de la cauda que porta, y lo peor para \xc3\xa9l, es que l\xc3\xb3pez tambi\xc3\xa9n lo sabe. \nMorena requiere l\xe2\x80\xa6'",91,None,5820,5835
2021-10-21 01:30:25,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,97,140
2021-10-21 01:30:23,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,20,94
2021-10-21 01:29:37,b'RT @RockStroke: Mi querido @jorgeacast d\xc3\xa1ndole una c\xc3\xa1tedra sobre la contrarreforma el\xc3\xa9ctrica del demagogo a los limitad\xc3\xadsimos paleros del r\xe2\x80\xa6',46,None,164,748
2021-10-21 01:28:59,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,21,84
2021-10-21 01:27:06,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,3833,4041
2021-10-21 01:27:04,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,61,785
2021-10-21 01:26:22,"b'RT @DJMatus: La econom\xc3\xada estadounidense es la gr\xc3\xbaa, la econom\xc3\xada mexicana es el auto desbielado, y la contrarreforma el\xc3\xa9ctrica es el freno d\xe2\x80\xa6'",13,None,917,1460
2021-10-21 01:26:15,b'RT @RockStroke: Mi querido @jorgeacast d\xc3\xa1ndole una c\xc3\xa1tedra sobre la contrarreforma el\xc3\xa9ctrica del demagogo a los limitad\xc3\xadsimos paleros del r\xe2\x80\xa6',46,None,75,175
2021-10-21 01:26:13,b'M\xc3\x89XICO multiplicar\xc3\xa1 el riesgo de enfrentar LITIGIOS internacionales de aprobarse la contrarreforma EL\xc3\x89CTRICA: ICC https://t.co/jRM3DnJXLh',0,None,23258,14148
2021-10-21 01:26:12,"b'RT @13_iracheta: El l\xc3\xadder tricolor sabe lo largo de la cauda que porta, y lo peor para \xc3\xa9l, es que l\xc3\xb3pez tambi\xc3\xa9n lo sabe. \nMorena requiere l\xe2\x80\xa6'",91,None,4926,4875
2021-10-21 01:25:41,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,142,239
2021-10-21 01:25:15,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,375,249
2021-10-21 01:24:50,b'RT @RockStroke: Mi querido @jorgeacast d\xc3\xa1ndole una c\xc3\xa1tedra sobre la contrarreforma el\xc3\xa9ctrica del demagogo a los limitad\xc3\xadsimos paleros del r\xe2\x80\xa6',46,None,509,97
2021-10-21 01:24:03,"b'RT @g_quadri: No caigan en la coartada. La Contrarreforma Energ\xc3\xa9tica de L\xc3\xb3pez no tiene arreglo posible. Se trata de estatizaci\xc3\xb3n, confiscac\xe2\x80\xa6'",1469,None,21,124
