created,text,retwc,hashtag,followers,friends
2021-10-21 01:42:27,b'RT @letroblesrosa: \xe2\x80\xbc\xef\xb8\x8fEXTRA EXTRA\xe2\x80\xbc\xef\xb8\x8f El @PRI_Nacional NO NO va a quitar los candados que le impiden apoyar en sus t\xc3\xa9rminos la #LeyApagon de A\xe2\x80\xa6',170,LeyApagon,393,520
2021-10-21 01:37:29,b'RT @AlanAdameMX: \xf0\x9f\x94\xb4|| La #LeyApag\xc3\xb3n de \xe2\x81\xa6@lopezobrador_\xe2\x81\xa9 nos est\xc3\xa1 metiendo en problemas con #EstadosUnidos.\n\n\xf0\x9f\x9a\xa8Va a provocar q se impongan san\xe2\x80\xa6',5,LeyApagón,713,4516
2021-10-21 01:36:44,b'RT @AlanAdameMX: \xf0\x9f\x94\xb4|| La #LeyApag\xc3\xb3n de \xe2\x81\xa6@lopezobrador_\xe2\x81\xa9 nos est\xc3\xa1 metiendo en problemas con #EstadosUnidos.\n\n\xf0\x9f\x9a\xa8Va a provocar q se impongan san\xe2\x80\xa6',5,LeyApagón,3193,2999
2021-10-21 01:23:50,b'RT @letroblesrosa: \xe2\x80\xbc\xef\xb8\x8fEXTRA EXTRA\xe2\x80\xbc\xef\xb8\x8f El @PRI_Nacional NO NO va a quitar los candados que le impiden apoyar en sus t\xc3\xa9rminos la #LeyApagon de A\xe2\x80\xa6',170,LeyApagon,1662,201
2021-10-21 01:22:50,b'RT @letroblesrosa: \xe2\x80\xbc\xef\xb8\x8fEXTRA EXTRA\xe2\x80\xbc\xef\xb8\x8f El @PRI_Nacional NO NO va a quitar los candados que le impiden apoyar en sus t\xc3\xa9rminos la #LeyApagon de A\xe2\x80\xa6',170,LeyApagon,1014,1188
2021-10-21 01:17:03,b'RT @letroblesrosa: \xe2\x80\xbc\xef\xb8\x8fEXTRA EXTRA\xe2\x80\xbc\xef\xb8\x8f El @PRI_Nacional NO NO va a quitar los candados que le impiden apoyar en sus t\xc3\xa9rminos la #LeyApagon de A\xe2\x80\xa6',170,LeyApagon,693,945
2021-10-21 01:15:13,b'RT @Coparmex: \xe2\x9a\xa1 Conoce las implicaciones de la #LeyApag\xc3\xb3n \xf0\x9f\x9a\xab\n\n\xf0\x9f\x94\xb5 Te invitamos a participar junto a expert@s y l\xc3\xadderes de opini\xc3\xb3n en el Di\xc3\xa1log\xe2\x80\xa6',3,LeyApagón,126,370
2021-10-21 01:12:52,"b'@OsoPere63075997 @damianzepeda @lopezobrador_ Aj\xc3\xa1, es del #pan y todo lo que quieras, pero tendr\xc3\xa1s argumentos suste\xe2\x80\xa6 https://t.co/xYyYMWxuJO'",0,pan,47,67
2021-10-21 01:11:04,b'RT @Coparmex: \xe2\x9a\xa1 Conoce las implicaciones de la #LeyApag\xc3\xb3n \xf0\x9f\x9a\xab\n\n\xf0\x9f\x94\xb5 Te invitamos a participar junto a expert@s y l\xc3\xadderes de opini\xc3\xb3n en el Di\xc3\xa1log\xe2\x80\xa6',3,LeyApagón,7109,6724
2021-10-21 01:10:03,b'\xe2\x9a\xa1 Conoce las implicaciones de la #LeyApag\xc3\xb3n \xf0\x9f\x9a\xab\n\n\xf0\x9f\x94\xb5 Te invitamos a participar junto a expert@s y l\xc3\xadderes de opini\xc3\xb3n en\xe2\x80\xa6 https://t.co/wLk5IDhEaf',3,LeyApagón,100074,1518
